order_id,client,amount_cny,status,signed_on
O-0001,远山工作室,6000,refunded,2026-01-12
O-0002,北岸文化,3000,paid,2026-01-26
O-0003,禾风教育,3000,paid,2026-07-23
O-0004,蓝湖设计,6000,paid,2026-09-23
O-0005,蓝湖设计,24000,paid,2026-04-28
O-0006,蓝湖设计,24000,pending,2026-07-11
O-0007,禾风教育,3000,pending,2026-03-19
O-0008,橙柚科技,6000,pending,2026-02-28
O-0009,远山工作室,24000,paid,2026-02-28
O-0010,北岸文化,6000,paid,2026-02-27
O-0011,蓝湖设计,24000,paid,2026-04-25
O-0012,北岸文化,18000,paid,2026-08-28
O-0013,橙柚科技,12000,paid,2026-04-15
O-0014,禾风教育,3000,pending,2026-05-26
O-0015,橙柚科技,12000,refunded,2026-05-12
O-0016,蓝湖设计,24000,refunded,2026-03-20
O-0017,禾风教育,18000,refunded,2026-01-12
O-0018,北岸文化,24000,paid,2026-06-21
O-0019,北岸文化,18000,pending,2026-08-12
O-0020,蓝湖设计,12000,refunded,2026-02-11
O-0021,远山工作室,24000,refunded,2026-05-22
O-0022,远山工作室,3000,refunded,2026-06-15
O-0023,北岸文化,3000,refunded,2026-01-16
O-0024,远山工作室,6000,paid,2026-07-22
O-0025,橙柚科技,3000,paid,2026-08-22
O-0026,北岸文化,12000,paid,2026-07-27
O-0027,远山工作室,18000,paid,2026-07-17
O-0028,禾风教育,3000,paid,2026-03-17
O-0029,禾风教育,3000,refunded,2026-03-18
O-0030,远山工作室,3000,paid,2026-07-27
O-0031,远山工作室,24000,pending,2026-06-14
O-0032,北岸文化,24000,paid,2026-08-27
O-0033,橙柚科技,18000,refunded,2026-07-13
O-0034,橙柚科技,18000,paid,2026-04-12
O-0035,禾风教育,18000,paid,2026-02-20
O-0036,北岸文化,3000,paid,2026-01-28
O-0037,禾风教育,24000,paid,2026-06-10
O-0038,蓝湖设计,6000,pending,2026-07-14
O-0039,远山工作室,12000,pending,2026-06-25
O-0040,蓝湖设计,3000,refunded,2026-08-25
O-0041,橙柚科技,12000,paid,2026-03-13
O-0042,远山工作室,12000,refunded,2026-03-26
O-0043,蓝湖设计,6000,pending,2026-06-14
O-0044,北岸文化,3000,pending,2026-05-12
O-0045,远山工作室,24000,paid,2026-03-21
O-0046,禾风教育,24000,pending,2026-09-20
O-0047,禾风教育,24000,paid,2026-04-22
O-0048,禾风教育,6000,pending,2026-08-21
O-0049,蓝湖设计,3000,paid,2026-08-18
O-0050,禾风教育,24000,paid,2026-08-21
O-0051,远山工作室,3000,paid,2026-02-17
O-0052,橙柚科技,6000,paid,2026-04-25
O-0053,北岸文化,24000,paid,2026-08-21
O-0054,蓝湖设计,3000,refunded,2026-04-25
O-0055,禾风教育,18000,paid,2026-02-22
O-0056,橙柚科技,18000,paid,2026-03-15
O-0057,禾风教育,3000,paid,2026-08-14
O-0058,北岸文化,24000,refunded,2026-06-14
O-0059,北岸文化,24000,paid,2026-01-10
O-0060,蓝湖设计,24000,paid,2026-07-16
O-0061,禾风教育,3000,paid,2026-04-19
O-0062,北岸文化,6000,pending,2026-06-18
O-0063,北岸文化,18000,paid,2026-01-21
O-0064,橙柚科技,24000,pending,2026-07-26
O-0065,禾风教育,24000,paid,2026-09-26
O-0066,蓝湖设计,18000,paid,2026-01-14
O-0067,禾风教育,6000,refunded,2026-02-27
O-0068,蓝湖设计,12000,pending,2026-09-27
O-0069,橙柚科技,3000,pending,2026-01-17
O-0070,禾风教育,12000,paid,2026-02-26
O-0071,橙柚科技,24000,paid,2026-02-24
O-0072,远山工作室,24000,pending,2026-09-16
O-0073,远山工作室,18000,pending,2026-09-25
O-0074,北岸文化,6000,pending,2026-05-27
O-0075,禾风教育,18000,paid,2026-07-13
O-0076,橙柚科技,18000,paid,2026-02-17
O-0077,橙柚科技,3000,paid,2026-05-13
O-0078,禾风教育,12000,paid,2026-05-14
O-0079,橙柚科技,6000,paid,2026-07-25
O-0080,禾风教育,6000,paid,2026-07-26
O-0081,橙柚科技,12000,refunded,2026-04-21
O-0082,远山工作室,3000,paid,2026-01-20
O-0083,北岸文化,18000,refunded,2026-01-22
O-0084,远山工作室,24000,pending,2026-05-26
O-0085,蓝湖设计,3000,paid,2026-02-12
O-0086,远山工作室,12000,paid,2026-03-18
O-0087,禾风教育,18000,paid,2026-07-14
O-0088,北岸文化,24000,pending,2026-08-20
O-0089,蓝湖设计,12000,paid,2026-03-23
O-0090,蓝湖设计,12000,paid,2026-02-18
O-0091,蓝湖设计,24000,paid,2026-02-18
O-0092,蓝湖设计,18000,paid,2026-06-27
O-0093,橙柚科技,12000,pending,2026-03-11
O-0094,北岸文化,6000,paid,2026-03-18
O-0095,蓝湖设计,6000,paid,2026-05-19
O-0096,北岸文化,6000,paid,2026-08-26
O-0097,禾风教育,12000,paid,2026-01-18
O-0098,蓝湖设计,3000,paid,2026-09-27
O-0099,禾风教育,24000,refunded,2026-04-24
O-0100,蓝湖设计,18000,refunded,2026-09-22
O-0101,北岸文化,12000,paid,2026-04-20
O-0102,禾风教育,6000,refunded,2026-06-11
O-0103,禾风教育,3000,paid,2026-05-23
O-0104,禾风教育,3000,paid,2026-07-26
O-0105,远山工作室,24000,paid,2026-05-11
O-0106,橙柚科技,6000,paid,2026-05-24
O-0107,蓝湖设计,12000,paid,2026-06-27
O-0108,远山工作室,6000,paid,2026-05-16
O-0109,远山工作室,6000,paid,2026-06-22
O-0110,蓝湖设计,18000,paid,2026-09-16
O-0111,禾风教育,24000,paid,2026-02-18
O-0112,蓝湖设计,6000,refunded,2026-01-22
O-0113,蓝湖设计,12000,paid,2026-04-12
O-0114,北岸文化,24000,paid,2026-07-20
O-0115,橙柚科技,6000,paid,2026-03-11
O-0116,北岸文化,18000,pending,2026-03-26
O-0117,北岸文化,24000,paid,2026-04-12
O-0118,蓝湖设计,3000,paid,2026-06-13
O-0119,橙柚科技,18000,pending,2026-01-10
O-0120,北岸文化,6000,refunded,2026-05-10
O-0001,远山工作室,6000,refunded,2026-01-12
O-0002,北岸文化,3000,paid,2026-01-26
O-0003,禾风教育,3000,paid,2026-07-23
O-0004,蓝湖设计,6000,paid,2026-09-23
O-0005,蓝湖设计,24000,paid,2026-04-28
O-0006,蓝湖设计,24000,pending,2026-07-11
O-0007,禾风教育,3000,pending,2026-03-19
O-0008,橙柚科技,6000,pending,2026-02-28
O-0009,远山工作室,24000,paid,2026-02-28
O-0010,北岸文化,6000,paid,2026-02-27
O-0011,蓝湖设计,24000,paid,2026-04-25
O-0012,北岸文化,18000,paid,2026-08-28
O-0013,橙柚科技,12000,paid,2026-04-15
O-0014,禾风教育,3000,pending,2026-05-26
O-0015,橙柚科技,12000,refunded,2026-05-12
O-0016,蓝湖设计,24000,refunded,2026-03-20
O-0017,禾风教育,18000,refunded,2026-01-12
O-0018,北岸文化,24000,paid,2026-06-21
O-0019,北岸文化,18000,pending,2026-08-12
O-0020,蓝湖设计,12000,refunded,2026-02-11
O-0121,,9000,paid,2026-05-05
O-0122,橙柚科技,,paid,2026-05-06
O-0123,远山工作室,-5000,paid,2026-05-07
O-0124,北岸文化,7000,,2026-05-08
O-0125,禾风教育,abc,paid,2026-05-09
